refID,DI,TI.x,TI.y,TI_check,PY.x,PY.y,PY_check,SO,AU,AU_UN,country_refsplitr,AU1_CO,CO,code_refsplitr,code_AU1_CO,code_CO,country_v_AU1_CO,country_v_CO,AU1_CO_v_CO
4196,10.1016/j.wneu.2019.03.014,"esthesioneuroblastoma: a comprehensive review of diagnosis, management, and current treatment options","esthesioneuroblastoma: a comprehensive review of diagnosis, management, and current treatment options",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,FIANI B;QUADRI SA;CATHEL A;FAROOQUI M;RAMACHANDRAN A;SIDDIQI I;GHANCHI H;ZAFAR A;BERMAN BW;SIDDIQI J,DESERT REG MED CTR;HARVARD MED SCH;UNIV NEW MEXICO;WESTERN UNIV HLTH SCI;RIVERSIDE UNIV HLTH SYST,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4197,10.1016/j.wneu.2019.03.035,de novo aneurysm formation after wingspan stenting of intracranial carotid stenosis: computational hemodynamic analysis,de novo aneurysm formation after wingspan stenting of intracranial carotid stenosis: computational hemodynamic analysis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,WANG F;LIU YS;WANG MY;ZHANG GD,DALIAN MED UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
4198,10.1016/j.wneu.2019.02.196,an ectopic recurrent craniopharyngioma of the temporal lobe: case report and review of the literature,an ectopic recurrent craniopharyngioma of the temporal lobe: case report and review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,CAI MQ;HE HY;ZHANG BY;LUO L;GONG J;LI WS;HUANG TC;GUO Y,SUN YAT SEN UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
4199,10.1016/j.wneu.2019.03.025,h3k27m-positive primary spinal glioblastoma presenting with hemorrhage-a rare clinical entity,h3k27m-positive primary spinal glioblastoma presenting with hemorrhage-a rare clinical entity,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,UPPER A;KONAR SK;NANDEESH BN;SHUKLA D,NATL INST MENTAL HLTH AND NEUROSCI;NATL INST MENTAL HLTH AND NEUROSCI,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
4200,10.1016/j.wneu.2019.02.208,safety and effectiveness of embolization for chronic subdural hematoma: systematic review and case series,safety and effectiveness of embolization for chronic subdural hematoma: systematic review and case series,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,WAQAS M;VAKHARI K;WEIMER PV;HASHMI E;DAVIES JM;SIDDIQUI AH,UNIV BUFFALO;UNIV BUFFALO;UNIV BUFFALO;UNIV BUFFALO;GATES VASC INST;JACOBS INST,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4201,10.1016/j.wneu.2019.02.081,dissection of c2 guiding to c1 lateral mass and facilitation of screw placement: technical note,dissection of c2 guiding to c1 lateral mass and facilitation of screw placement: technical note,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,JAGETIA A;DUTTA G;SETIA V;SINGHAL GD;BODELIWALA S;SRIVASTAVA AK,GOVIND BALLABH PANT INST POSTGRAD MED EDUC AND RES,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
4202,10.1016/j.wneu.2019.02.115,"hemorrhage, seizures, and dynamic changes of familial versus nonfamilial cavernous malformation: systematic review and meta-analysis","hemorrhage, seizures, and dynamic changes of familial versus nonfamilial cavernous malformation: systematic review and meta-analysis",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TASLIMI S;KU JC;MODABBERNIA A;MACDONALD RL,UNIV TORONTO;LABATT FAMILY CTR EXCELLENCE BRAIN INJURY AND TRAUM;LI KA SHING KNOWLEDGE INST;ICAHN SCH MED,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
4203,10.1016/j.wneu.2019.02.193,short-term spontaneous resolution of ruptured peripheral aneurysm in moyamoya disease,short-term spontaneous resolution of ruptured peripheral aneurysm in moyamoya disease,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,YAMADA H;SAGA I;KOJIMA A;HORIGUCHI T,SAITAMA CITY HOSP;KEIO UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4204,10.1016/j.wneu.2019.02.209,de novo formation of direct arteriovenous fistula involving anterior communicating artery aneurysm in remote site from prior ruptured arteriovenous malformation in pediatric patient: case report and review of literature,de novo formation of direct arteriovenous fistula involving anterior communicating artery aneurysm in remote site from prior ruptured arteriovenous malformation in pediatric patient: case report and review of literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,JOHNSON R;KARSONOVICH T;FARHAT H;NIKAS D,ADVOCATE BROMENN MED CTR;ADVOCATE CHRIST MED CTR,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4205,10.1016/j.wneu.2019.02.226,de novo development of a cerebral arteriovenous malformation: case report and review of the literature,de novo development of a cerebral arteriovenous malformation: case report and review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,DOGAN SN;BAGCILAR O;MAMMADOV T;KIZILKILIC O;ISLAK C;KOCER N,ISTANBUL UNIV;ISTANBUL UNIV,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
4206,10.1016/j.wneu.2019.03.092,serotonin syndrome following tramadol and gabapentin use after spine surgery,serotonin syndrome following tramadol and gabapentin use after spine surgery,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,EKSI MS;TURGUT VU;OZCAN-EKSI EE;GUNGOR A;TURGUT FNT;PAMIR MN,ACIBADEM MEHMET ALI AYDINLAR UNIV;ANTALYA ATATURK STATE HOSP;BAHCESEHIR UNIV;ANTALYA RES AND EDUC HOSP,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
4207,10.1016/j.wneu.2019.03.071,hydrocephalus in neurocysticercosis: challenges for clinical practice and basic research perspectives,hydrocephalus in neurocysticercosis: challenges for clinical practice and basic research perspectives,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HAMAMOTO PT;ZANINI MA;FLEURY A,UNIV ESTADUAL PAULISTA;UNIV NACL AUTONOMA MEXICO;INST NACL NEUROL AND NEUROCIRUG,brazil,BRAZIL,BRAZIL,BRA,BRA,BRA,TRUE,TRUE,TRUE
4208,10.1016/j.wneu.2019.03.055,initial experience in direct aspiration thrombectomy using a novel 0.071-inch aspiration catheter,initial experience in direct aspiration thrombectomy using a novel 0.071-inch aspiration catheter,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ALMALLOUHI E;ANADANI M;AL KASAB S;LENA JR;SPIOTTA AM,MED UNIV SOUTH CAROLINA;MED UNIV SOUTH CAROLINA,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4209,10.1016/j.wneu.2019.02.167,f-18-fluorodeoxyglucose positron emission tomography-magnetic resonance monitoring of brain metabolic changes in a case of arteriovenous malformatione-related steal phenomenon symptoms,f-18-fluorodeoxyglucose positron emission tomography-magnetic resonance monitoring of brain metabolic changes in a case of arteriovenous malformatione-related steal phenomenon symptoms,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ANGLANI M;CECCHIN D;CESTER G;SIMONATO D;BARACCHINE C;DELLA PUPPA A;CAUSIN F,PADOVA UNIV HOSP;PADOVA UNIV HOSP;PADOVA UNIV HOSP;PADOVA UNIV HOSP;PADOVA UNIV HOSP;UNIV PADUA,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4210,10.1016/j.wneu.2019.03.045,microsurgical disconnection of ruptured intracranial pial arteriovenous fistula guided by indocyanine green videoangiography,microsurgical disconnection of ruptured intracranial pial arteriovenous fistula guided by indocyanine green videoangiography,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SIGNORELLI F;MESSINA R;MADURI R;BARBAGALLO G;TACCONI L,UNIV ALDO MORO BARI;UNIV HOSP VAUD;POLICLIN G RODOLICO UNIV HOSP;UNIV HOSP TRIESTE,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4211,10.1016/j.wneu.2019.02.058,leptomeningeal carcinomatosis after neoplastic cerebral aneurysm rupture,leptomeningeal carcinomatosis after neoplastic cerebral aneurysm rupture,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KOGA M;AOKI T;NEGOTO T;MAKIZONO T;SUGI K;FUJIMORI K;KAJIWARA S;KOMAKI S;YOSHITOMI M;SUGITA Y;MORIOKA M,KURUME UNIV;KURUME UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4212,10.1016/j.wneu.2019.02.161,microsurgical clip reconstruction of ruptured dissecting pica aneurysm: 2-dimensional operative video,microsurgical clip reconstruction of ruptured dissecting pica aneurysm: 2-dimensional operative video,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GLAUSER G;HUDGINS E;CHOUDHRI OA,UNIV PENN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4213,10.1016/j.wneu.2019.03.091,elongated clivus with deficient anterior atlantal arch and congenital posterior atlantooccipital dislocation: pathoembryology and management nuances of a rare form of proatlas segmentation anomaly,elongated clivus with deficient anterior atlantal arch and congenital posterior atlantooccipital dislocation: pathoembryology and management nuances of a rare form of proatlas segmentation anomaly,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,DAS KK;DEORA H;SRIVASTAVA A;KHATRI D;SHANKAR S;SARDHARA J;BEHARI S,SANJAY GANDHI POSTGRAD INST MED SCI,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
4214,10.1016/j.wneu.2019.03.067,side slit guide pipe for precise placement of depth electrodes,side slit guide pipe for precise placement of depth electrodes,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,FUJIMOTO A;MASUDA Y;ICHIKAWA N;SATO K;BABA S;ITAMURA S;NISHIMURA M;ENOKI H;OKANISHI T,COMPREHENS EPILEPSY CTR,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4215,10.1016/j.wneu.2019.03.076,bilateral blindness after incomplete coiling of small anterior cerebral artery aneurysm: case report and review of literature,bilateral blindness after incomplete coiling of small anterior cerebral artery aneurysm: case report and review of literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,YANG XL;WANG AOF;ZHANG RJ;ZHANG HB,THIRD HOSP PEOPLE LIBERAT ARMY,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
4216,10.1016/j.wneu.2019.03.070,which patients with aneurysms involving the a1-a2 segment of the anterior inferior cerebellar artery would benefit from parent artery occlusion?,which patients with aneurysms involving the a1-a2 segment of the anterior inferior cerebellar artery would benefit from parent artery occlusion?,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HOU K;LI GC;XU BF;XU K;YU JL,JILIN UNIV;JILIN UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
4217,10.1016/j.wneu.2019.02.230,short report on a rare presentation of temporal arachnoid cyst and lessons learned,short report on a rare presentation of temporal arachnoid cyst and lessons learned,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ONYIA CU;AKINNIRANYE O;OLAITAN A;AGOHA C,LAGOON HOSP GRP;LAGOON HOSP GRP;LAGOON HOSP,nigeria,NIGERIA,NIGERIA,NGA,NGA,NGA,TRUE,TRUE,TRUE
4218,10.1016/j.wneu.2019.03.095,african contribution to the world neurosurgical literature during the past two decades (1999-2018) using pubmed database,african contribution to the world neurosurgical literature during the past two decades (1999-2018) using pubmed database,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,AKHADDAR A,AVICENNE MIL HOSP MARRAKECH;MOHAMMED V UNIV;MOHAMMED V UNIV,morocco,MOROCCO,MOROCCO,MAR,MAR,MAR,TRUE,TRUE,TRUE
4219,10.1016/j.wneu.2019.03.096,frameless stereotactic navigation during insular glioma resection using fusion of three-dimensional rotational angiography and magnetic resonance imaging,frameless stereotactic navigation during insular glioma resection using fusion of three-dimensional rotational angiography and magnetic resonance imaging,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,DASENBROCK HH;SEE AP;SMALLEY RJ;BI WL;DOLATI P;FRERICHS KU;GOLBY AJ;CHIOCCA EA;AZIZ-SULTAN MA,HARVARD MED SCH;RUSH UNIV;NAVAL MED CTR;GOLSHAR HOSP,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4220,10.1016/j.wneu.2019.02.242,the intriguing case of a double pituitary adenoma,the intriguing case of a double pituitary adenoma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GONZALEZ A;SAINDANE AM;NEILL SG;OYESIKU NM;IOACHIMESCU AG,EMORY UNIV;EMORY UNIV;EMORY UNIV;EMORY UNIV,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4221,10.1016/j.wneu.2019.02.245,giant cerebral aneurysm in a patient with cowden syndrome treated with surgical clipping,giant cerebral aneurysm in a patient with cowden syndrome treated with surgical clipping,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TOH K;SUZUKI K;MIYAOKA R;KITAGAWA T;SAITO T;NAKANO Y;YAMAMOTO J,UNIV OCCUPAT AND ENVIRONM HLTH,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4222,10.1016/j.wneu.2019.03.069,arterial spin labeling magnetic resonance imaging to diagnose contrast-induced vasospasm after intracranial stent embolization,arterial spin labeling magnetic resonance imaging to diagnose contrast-induced vasospasm after intracranial stent embolization,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ROMANO DG;FRAUENFELDER G;LOCATELLI G;PANZA MP;SIANI A;TARTAGLIONE S;LEONINI S;ZOBEL BB;SAPONIERO R,POLICLIN UNIV CAMPUS BIOMED ROMA;DEPT NEUROL AND SENSORINEURAL SCI,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4223,10.1016/j.wneu.2019.02.143,duplication of ventral dura as a cause of ventral herniation of spinal cord-a report of two cases and review of the literature,duplication of ventral dura as a cause of ventral herniation of spinal cord-a report of two cases and review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TYAGI G;PRABHURAJ AR;BHAT DI;RAO MB;DEVI BI,NATL INST MENTAL HLTH AND NEUROSCI,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
4224,10.1016/j.wneu.2019.03.132,klippel-trenaunay-weber syndrome with atypical presentation of cerebral cavernous angioma: a case report and literature review,klippel-trenaunay-weber syndrome with atypical presentation of cerebral cavernous angioma: a case report and literature review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KARADAG A;SENOGLU M;SAYHAN S;OKROMELIDZE L;MIDDLEBROOKS EH,MENEMEN STATE HOSP;HLTH SCI UNIV;HLTH SCI UNIV;MAYO CLIN;MAYO CLIN,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
4225,10.1016/j.wneu.2019.03.099,construction of neuroanatomical volumetric models using 3-dimensional scanning techniques: technical note and applications,construction of neuroanatomical volumetric models using 3-dimensional scanning techniques: technical note and applications,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RUBIO RR;SHEHATA J;KOURNOUTAS I;CHAE R;VIGO V;WANG MH;EL-SAYED I;ABLA AA,UNIV CALIF SAN FRANCISCO;UNIV CALIF SAN FRANCISCO;UNIV CALIF SAN FRANCISCO;CHINA MED UNIV,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4226,10.1016/j.wneu.2019.03.103,holocord pilocytic astrocytoma in an adult: a rare case report and review of the literature,holocord pilocytic astrocytoma in an adult: a rare case report and review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,BARAN O;KASIMCAN O;SAV A;ORUCKAPTAN H,HASEKI RES AND TRAINING HOSP;ISTINYE UNIV;YEDITEPE UNIV;MEM HOSP,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
4227,10.1016/j.wneu.2019.03.056,neurosurgical approaches to levodopa-induced dyskinesia,neurosurgical approaches to levodopa-induced dyskinesia,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,MARTINI ML;MOCCO J;PANOV F,ICAHN SCH MED MT SINAI,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4228,10.1016/j.wneu.2019.02.201,interbody bone graft via transdiskal screw holes as treatment for high-grade spondylolisthesis,interbody bone graft via transdiskal screw holes as treatment for high-grade spondylolisthesis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,NOZAWA S;NAKANO A;FUJIWARA K;NAKAYA Y;FUKUMOTO S;FUJISHIRO T;KINO K;BABA I;AKIYAMA H;NEO M,GIFU UNIV;OSAKA MED COLL,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4229,10.1016/j.wneu.2019.03.120,"microrna expression profiles, target genes, and pathways in intervertebral disk degeneration: a meta-analysis of 3 microarray studies","microrna expression profiles, target genes, and pathways in intervertebral disk degeneration: a meta-analysis of 3 microarray studies",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SHERAFATIAN M;ABDOLLAHPOUR HR;GHAFFARPASAND F;YAGHMAEI S;AZADEGAN M;HEIDARI M,TARBIAT MODARES UNIV;SHIRAZ UNIV MED SCI;SHIRAZ UNIV MED SCI;SHIRAZ UNIV MED SCI;RAZI UNIV,iran,IRAN,IRAN,IRN,IRN,IRN,TRUE,TRUE,TRUE
4230,10.1016/j.wneu.2019.03.097,microsurgical clipping of ophthalmic aneurysms in an endovascular era: sonopet-assisted intradural clinoidectomy and other tenets,microsurgical clipping of ophthalmic aneurysms in an endovascular era: sonopet-assisted intradural clinoidectomy and other tenets,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GLAUSER G;CHOUDHRI OA,UNIV PENN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4231,10.1016/j.wneu.2019.02.111,nonsecretory paraganglioma in cavernous sinus masquerading as meningioma,nonsecretory paraganglioma in cavernous sinus masquerading as meningioma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SINGH S;KUMAR A;MEHROTRA A;RAO RN;BEHARI S,SANJAY GANDHI POST GRAD INST MED SCI;SANJAY GANDHI POST GRAD INST MED SCI,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
4232,10.1016/j.wneu.2019.02.131,serial quantitative and qualitative measurements of flow in vein of galen malformations using 4-dimensional flow magnetic resonance imaging (phase contrast vastly undersampled isotropic projection),serial quantitative and qualitative measurements of flow in vein of galen malformations using 4-dimensional flow magnetic resonance imaging (phase contrast vastly undersampled isotropic projection),TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LI YP;AHMED R;RIVERA-RIVERA LA;STADLER JA;TURSKI P;AAGAARD-KIENITZ B,UNIV WISCONSIN;UNIV WISCONSIN;UNIV WISCONSIN,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4233,10.1016/j.wneu.2019.03.101,clipping of high-risk dural arteriovenous fistula of the posterior fossa: 3-dimensional operative video,clipping of high-risk dural arteriovenous fistula of the posterior fossa: 3-dimensional operative video,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RUBIO RR;CHAE R;RUTLEDGE WC;DE VILALTA A;KOURNOUTAS I;WINKLER E;ABLA AA,UNIV CALIF SAN FRANCISCO;UNIV CALIF SAN FRANCISCO;UNIV CALIF SAN FRANCISCO,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4234,10.1016/j.wneu.2019.03.093,laparoscopic-assisted intra-abdominal section of the lateral femoral cutaneous nerve for meralgia paresthetica following anterior hip arthroplasty,laparoscopic-assisted intra-abdominal section of the lateral femoral cutaneous nerve for meralgia paresthetica following anterior hip arthroplasty,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HONG J;TRUS TL;BALL PA,DARTMOUTH HITCHCOCK MED CTR;DARTMOUTH HITCHCOCK MED CTR,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4235,10.1016/j.wneu.2019.03.036,endoscopic treatment of thoracic discitis with robotic access: a case report merging two cutting-edge technologies,endoscopic treatment of thoracic discitis with robotic access: a case report merging two cutting-edge technologies,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KOLCUN JPG;WANG MY,UNIV MIAMI,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4236,10.1016/j.wneu.2019.02.246,multimodal management of aggressive recurrent aneurysmal bone cyst of spine: case report and review of literature,multimodal management of aggressive recurrent aneurysmal bone cyst of spine: case report and review of literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,FRASSANITO P;D'ONOFRIO GF;PENNISI G;MASSIMI L;TAMBURRINI G;MUTO M;CALDARELLI M,UNIV CATTOLICA SACRO CUORE,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4237,10.1016/j.wneu.2019.02.202,intracanal optic nerve cavernous hemangioma: a case report and review of the literature,intracanal optic nerve cavernous hemangioma: a case report and review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,ALGOET M;VAN DYCK-LIPPENS PJ;CASSELMAN J;SIRIMSI S;FLETCHER CDM;VAN DEN BERGHE I;VANOPDENBOSCH L;DE MUYNCK S;VANTOMME N,UNIV LEUVEN;UNIV HOSP LEUVEN;BRIGHAM AND WOMENS HOSP,belgium,BELGIUM,BELGIUM,BEL,BEL,BEL,TRUE,TRUE,TRUE
4238,10.1016/j.wneu.2019.03.159,atlantooccipital synovial cyst with isolated hypoglossal nerve palsy: case report of nonfusion surgical approach and review of literature,atlantooccipital synovial cyst with isolated hypoglossal nerve palsy: case report of nonfusion surgical approach and review of literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GASSIE K;GREWAL S;CHEN SG,MAYO CLIN FLORIDA,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4239,10.1016/j.wneu.2019.03.125,"the 3f (fat, flap, and flash) technique for skull base reconstruction after endoscopic endonasal suprasellar approach","the 3f (fat, flap, and flash) technique for skull base reconstruction after endoscopic endonasal suprasellar approach",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,CAVALLO LM;SOLARI D;SOMMA T;CAPPABIANCA P,UNIV NAPOLI FEDERICO NAPLES II,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4240,10.1016/j.wneu.2019.03.114,cervical interfacet spacers to promote indirect decompression and enhance fusion in degenerative spine: a review,cervical interfacet spacers to promote indirect decompression and enhance fusion in degenerative spine: a review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,COFANO F;SCIARRONE GJ;PECORARO MF;MARENGO N;AJELLO M;PENNER F;PETRONE S;DUCATI A;ZENGA F;MUSSO C;GARBOSSA D,UNIV TURIN;HUMANITAS RES CTR,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4241,10.1016/j.wneu.2019.01.294,spinal epidural abscess in children: case report and review of the literature,spinal epidural abscess in children: case report and review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HOUSTON R;GAGLIARDO C;VASSALLO S;WYNNE PJ;MAZZOLA CA,ROWAN UNIV;GORYEB CHILDRENS HOSP;THOMAS JEFFERSON UNIV;MORRISTOWN MED CTR,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4242,10.1016/j.wneu.2019.03.028,ossification of the ligamentum flavum at the thoracic and lumbar region in an achondroplastic patient,ossification of the ligamentum flavum at the thoracic and lumbar region in an achondroplastic patient,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GOKCEN HB;OZTURK C,ISTINYE UNIV,turkey,TURKEY,TURKEY,TUR,TUR,TUR,TRUE,TRUE,TRUE
4245,10.1016/j.wneu.2019.02.238,rupture of thrombosed cerebral aneurysm during antithrombotic therapy for ischemic stroke: case report and literature review,rupture of thrombosed cerebral aneurysm during antithrombotic therapy for ischemic stroke: case report and literature review,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KURODA H;MOCHIZUKI T;SHIMIZU S;KUMABE T,YOKOHAMA BRAIN AND SPINE CTR;KITASATO UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4246,10.1016/j.wneu.2019.02.229,vertebral metastasis from primary parotid adenocarcinoma,vertebral metastasis from primary parotid adenocarcinoma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,DHALIWAL J;CALAFIORE R;BULSARA KR;ONYIUKE H,UNIV CONNECTICUT,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
4247,10.1016/j.wneu.2019.03.030,hemostatic thrombin-gelatin matrix-related intracranial cyst formation,hemostatic thrombin-gelatin matrix-related intracranial cyst formation,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HO MY;YANG SH;CHEN CM;HUANG APH,NATL TAIWAN UNIV HOSP;CHANG HAU CHRISTIAN HOSP,taiwan,CHINA,CHINA,TWN,CHN,CHN,FALSE,FALSE,TRUE
4248,10.1016/j.wneu.2019.03.158,fully endoscopic minimally invasive tumor resection for cystic cerebellar hemangioblastoma,fully endoscopic minimally invasive tumor resection for cystic cerebellar hemangioblastoma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HASEGAWA H;SHIN M;KIN T;SAITO N,UNIV TOKYO HOSP,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
4249,10.1016/j.wneu.2019.03.068,hydrocephalus due to a cavernoma-like lesion of an obliterated cerebral arteriovenous malformation treated by embolization and radiosurgery,hydrocephalus due to a cavernoma-like lesion of an obliterated cerebral arteriovenous malformation treated by embolization and radiosurgery,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,D'ALIBERTI GA;COLISTRA D;IACOPINO G;BRAMERIO MA;CENZATO M;TALAMONTI G,SAPIENZA UNIV ROME,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4252,10.1016/j.wneu.2019.03.072,percutaneous endoscopic c2-c3 medial branches neurotomy for cervicogenic headache,percutaneous endoscopic c2-c3 medial branches neurotomy for cervicogenic headache,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,NI B;DU T;SHU W;LU G;ZHU HW,CAPITAL MED UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
4253,10.1016/j.wneu.2019.02.247,two-staged frontal bone defect reconstruction: perioperative assessment of scalp vascularization using near-infrared indocyanine green video angiography (visionsense iridium),two-staged frontal bone defect reconstruction: perioperative assessment of scalp vascularization using near-infrared indocyanine green video angiography (visionsense iridium),TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TRINGALI G;D'AMMANDO A;BONO B;COLOMBETTI A;FRANZINI A,FDN IRCCS IST NEUROL CARLO BESTA;FDN IRCSS IST NAZL TUMORI,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
4254,10.1016/j.wneu.2019.03.117,lessons learned from a migratory intradural extramedullary schwannoma: a case report with review of the literature,lessons learned from a migratory intradural extramedullary schwannoma: a case report with review of the literature,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,AGGARWAL V;MAHESHWARI C;NARANG A;ATWAL J;BAHADUR R,GURU GOBIND SINGH MED COLL AND HOSP;GURU GOBIND SINGH MED COLL AND HOSP;GURU GOBIND SINGH MED COLL AND HOSP,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
